fpr,tpr
9.116131589377724496e-05,2.525760622756446916e-02
9.215219976218786498e-05,2.525760622756446916e-02
9.215219976218786498e-05,2.592655016503757695e-02
9.314308363059849855e-05,2.592655016503757695e-02
9.314308363059849855e-05,2.608043867647505398e-02
9.413396749900911856e-05,2.608043867647505398e-02
9.413396749900911856e-05,2.610451647078159548e-02
9.512485136741973858e-05,2.610451647078159548e-02
9.512485136741973858e-05,2.683941262744219541e-02
9.611573523583035860e-05,2.683941262744219541e-02
9.611573523583035860e-05,2.696398904146300735e-02
9.710661910424097862e-05,2.696398904146300735e-02
9.710661910424097862e-05,2.698073881141538691e-02
9.809750297265159864e-05,2.698073881141538691e-02
9.809750297265159864e-05,2.698283253265943565e-02
9.908838684106223221e-05,2.698283253265943565e-02
9.908838684106223221e-05,2.703936300624871017e-02
1.000792707094728522e-04,2.703936300624871017e-02
1.000792707094728522e-04,2.714614278969512337e-02
1.010701545778834722e-04,2.714614278969512337e-02
1.010701545778834722e-04,2.817730050238841100e-02
1.020610384462940923e-04,2.817730050238841100e-02
1.020610384462940923e-04,2.843796879727230123e-02
1.030519223147047123e-04,2.843796879727230123e-02
1.030519223147047123e-04,2.856463893253716191e-02
1.040428061831153323e-04,2.856463893253716191e-02
1.040428061831153323e-04,2.859290416933180090e-02
1.050336900515259659e-04,2.859290416933180090e-02
1.050336900515259659e-04,2.862116940612643642e-02
1.060245739199365859e-04,2.862116940612643642e-02
1.060245739199365859e-04,2.877296419631986471e-02
1.070154577883472059e-04,2.877296419631986471e-02
1.070154577883472059e-04,2.895511794455198074e-02
1.080063416567578259e-04,2.895511794455198074e-02
1.080063416567578259e-04,2.901792958187339802e-02
1.089972255251684459e-04,2.901792958187339802e-02
1.089972255251684459e-04,2.919484902699539391e-02
1.099881093935790660e-04,2.919484902699539391e-02
1.099881093935790660e-04,2.987740215255480988e-02
1.109789932619896995e-04,2.987740215255480988e-02
1.109789932619896995e-04,2.988682389815302404e-02
1.119698771304003195e-04,2.988682389815302404e-02
1.119698771304003195e-04,3.011294579251013251e-02
1.129607609988109396e-04,3.011294579251013251e-02
1.129607609988109396e-04,3.045631607653388750e-02
1.139516448672215596e-04,3.045631607653388750e-02
1.139516448672215596e-04,3.052959632007554158e-02
1.149425287356321796e-04,3.052959632007554158e-02
1.149425287356321796e-04,3.062172005481362050e-02
1.159334126040427996e-04,3.062172005481362050e-02
1.159334126040427996e-04,3.086459171912310853e-02
1.169242964724534332e-04,3.086459171912310853e-02
1.169242964724534332e-04,3.094938742950702204e-02
1.179151803408640532e-04,3.094938742950702204e-02
1.179151803408640532e-04,3.124564898553971320e-02
1.189060642092746732e-04,3.124564898553971320e-02
1.189060642092746732e-04,3.141524040630754716e-02
1.198969480776852932e-04,3.141524040630754716e-02
1.198969480776852932e-04,3.146130227367658488e-02
1.208878319460959133e-04,3.146130227367658488e-02
1.208878319460959133e-04,3.216165202981040305e-02
1.218787158145065333e-04,3.216165202981040305e-02
1.218787158145065333e-04,3.248408510139368793e-02
1.228695996829171533e-04,3.248408510139368793e-02
1.228695996829171533e-04,3.254689673871510175e-02
1.238604835513277733e-04,3.254689673871510175e-02
1.238604835513277733e-04,3.300542169116146146e-02
1.248513674197383933e-04,3.300542169116146146e-02
1.248513674197383933e-04,3.329121464097391236e-02
1.258422512881490405e-04,3.329121464097391236e-02
1.258422512881490405e-04,3.366075644054826455e-02
1.268331351565596605e-04,3.366075644054826455e-02
1.268331351565596605e-04,3.375078645404229472e-02
1.278240190249702805e-04,3.375078645404229472e-02
1.278240190249702805e-04,3.375916133901848276e-02
1.288149028933809005e-04,3.375916133901848276e-02
1.288149028933809005e-04,3.379580146078930980e-02
