fpr,tpr
5.449861276258422297e-05,1.424253876263168253e-02
5.449861276258422297e-05,1.437549006162868424e-02
5.548949663099484976e-05,1.437549006162868424e-02
5.548949663099484976e-05,1.463825207775661975e-02
5.648038049940546978e-05,1.463825207775661975e-02
5.648038049940546978e-05,1.467279847828339978e-02
5.747126436781608980e-05,1.467279847828339978e-02
5.747126436781608980e-05,1.470001685445601440e-02
5.846214823622671660e-05,1.470001685445601440e-02
5.846214823622671660e-05,1.515435436441427662e-02
5.945303210463733661e-05,1.515435436441427662e-02
5.945303210463733661e-05,1.531452403958389469e-02
5.945303210463733661e-05,1.531661776082794170e-02
5.945303210463733661e-05,1.564742571738741289e-02
6.044391597304795663e-05,1.564742571738741289e-02
6.044391597304795663e-05,1.581178283504512325e-02
6.143479984145857665e-05,1.581178283504512325e-02
6.143479984145857665e-05,1.605360763873258517e-02
6.242568370986919667e-05,1.605360763873258517e-02
6.242568370986919667e-05,1.651946061553310682e-02
6.341656757827983024e-05,1.651946061553310682e-02
6.341656757827983024e-05,1.656970992539024204e-02
6.440745144669045026e-05,1.656970992539024204e-02
6.440745144669045026e-05,1.684398740836043698e-02
6.539833531510107028e-05,1.684398740836043698e-02
6.539833531510107028e-05,1.703765662343481244e-02
6.539833531510107028e-05,1.703975034467886118e-02
6.539833531510107028e-05,1.710465570324432721e-02
6.638921918351169029e-05,1.710465570324432721e-02
6.638921918351169029e-05,1.729309061520858254e-02
6.738010305192231031e-05,1.729309061520858254e-02
6.738010305192231031e-05,1.740091725927701838e-02
6.837098692033293033e-05,1.740091725927701838e-02
6.837098692033293033e-05,1.758621158937520232e-02
6.936187078874356390e-05,1.758621158937520232e-02
6.936187078874356390e-05,1.784478616301504381e-02
7.035275465715418392e-05,1.784478616301504381e-02
7.035275465715418392e-05,1.788666058789598751e-02
7.134363852556480394e-05,1.788666058789598751e-02
7.134363852556480394e-05,1.799867467445251737e-02
7.233452239397542395e-05,1.799867467445251737e-02
7.233452239397542395e-05,1.802903363249120511e-02
7.332540626238604397e-05,1.802903363249120511e-02
7.332540626238604397e-05,1.837240391651496010e-02
7.431629013079666399e-05,1.837240391651496010e-02
7.431629013079666399e-05,1.839962229268757299e-02
7.530717399920729756e-05,1.839962229268757299e-02
7.530717399920729756e-05,1.846138706938696764e-02
7.629805786761791758e-05,1.846138706938696764e-02
7.629805786761791758e-05,1.858701034402980568e-02
7.728894173602853760e-05,1.858701034402980568e-02
7.728894173602853760e-05,1.916592426800888330e-02
7.827982560443915762e-05,1.916592426800888330e-02
7.827982560443915762e-05,1.936901522868146944e-02
7.927070947284977763e-05,1.936901522868146944e-02
7.927070947284977763e-05,1.942868628413681534e-02
7.927070947284977763e-05,1.943078000538086408e-02
7.927070947284977763e-05,1.988197693347305492e-02
8.026159334126039765e-05,1.988197693347305492e-02
8.026159334126039765e-05,1.994583543141649831e-02
8.125247720967103122e-05,1.994583543141649831e-02
8.125247720967103122e-05,2.023895640558311809e-02
8.224336107808165124e-05,2.023895640558311809e-02
